,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,2000-01-26,71.0,-10.5060005,-13.156,-11.553918,9083.634,0.2,1.0,16.179985,30.960001,281.1679
1,2000-01-27,71.0,0.49399996,-10.556,-2.191416,0.0,0.6,6.0,21.53089,38.519997,269.6064
2,2000-01-28,71.0,1.344,-0.0059999973,0.6398333,0.0,0.1,1.0,25.223133,41.760002,259.74203
3,2000-01-29,3.0,0.444,-2.5059998,-0.9205834,20505.898,0.0,0.0,23.863409,41.760002,220.79974
4,2000-01-30,71.0,1.744,-2.306,0.13358329,2038.1252,2.6,10.0,25.567604,44.28,218.39987
5,2000-01-31,75.0,3.4940002,-1.8560001,0.44608334,17282.71,5.6999993,9.0,33.00436,61.199997,256.65192
6,2000-02-01,71.0,1.494,-4.156,-2.4393334,25860.701,0.3,2.0,35.15488,64.439995,294.43918
7,2000-02-02,73.0,4.0439997,-0.606,2.516917,6362.681,2.3999999,10.0,22.127556,40.68,247.6414
8,2000-02-03,51.0,2.9940002,-2.7559998,1.4419166,23552.318,0.8,5.0,30.0767,54.719997,277.82254
9,2000-02-04,3.0,-1.556,-6.256,-4.006,29116.84,0.0,0.0,24.57511,47.88,286.7574
10,2000-02-05,73.0,2.4940002,-3.606,-0.33933342,0.0,6.0,11.0,32.559605,59.76,278.1004
11,2000-02-06,3.0,1.8939999,-5.256,-1.6414164,15859.327,0.0,0.0,19.134262,36.719997,275.18607
12,2000-02-07,3.0,2.7440002,0.694,1.7315001,4242.365,0.0,0.0,14.264361,24.48,252.0398
13,2000-02-08,51.0,4.0439997,0.444,2.1815002,17764.906,0.3,1.0,17.906157,31.68,229.51405
14,2000-02-09,51.0,4.994,0.99399996,2.7002504,0.0,1.1,4.0,22.691425,39.239998,249.32642
15,2000-02-10,3.0,3.594,-2.006,0.73149997,30266.334,0.0,0.0,16.520823,32.760002,265.37317
16,2000-02-11,3.0,3.394,-0.95600003,0.7231665,30744.459,0.0,0.0,15.463246,34.92,242.24487
17,2000-02-12,3.0,2.594,-0.75600004,0.85649997,28325.398,0.0,0.0,13.493999,28.08,301.41507
18,2000-02-13,3.0,0.094,-1.8560001,-0.656,1927.3757,0.0,0.0,14.8257065,30.239998,200.1116
19,2000-02-14,71.0,2.7440002,-0.656,0.5460834,19505.572,0.6,4.0,23.4,42.839996,213.72716
20,2000-02-15,71.0,0.944,-3.056,-1.1455833,15817.622,0.0,0.0,14.345898,29.88,269.124
21,2000-02-16,3.0,2.144,-3.7559998,-0.95599985,29203.07,0.0,0.0,20.991426,40.32,191.96028
22,2000-02-17,3.0,2.344,-3.156,0.11275003,23404.43,0.0,0.0,26.576681,51.12,157.74931
23,2000-02-18,73.0,1.6439999,0.044,0.71066666,0.0,14.500001,24.0,23.86341,46.079998,141.5987
24,2000-02-19,71.0,1.094,-2.006,-0.30183336,462.0392,1.0,6.0,15.778516,30.599998,295.89615
25,2000-02-20,71.0,-1.156,-3.856,-2.6601665,4980.1104,0.4,2.0,12.979984,26.28,277.85867
26,2000-02-21,71.0,-1.456,-5.156,-3.6184998,0.0,0.8,6.0,18.678415,33.48,299.18405
27,2000-02-22,3.0,-4.906,-6.506,-5.6164165,5747.1514,0.0,0.0,23.806318,44.28,329.09814
28,2000-02-23,71.0,-3.0059998,-9.856,-6.1143336,33249.957,0.1,1.0,18.58451,34.2,295.8301
29,2000-02-24,3.0,-4.556,-10.156,-7.7497497,7155.3604,0.0,0.0,17.377226,32.039997,276.55096
30,2000-02-25,73.0,1.744,-8.706,-2.5268328,8175.4155,1.6000001,6.0,21.67487,39.239998,244.79544
31,2000-02-26,73.0,1.1439999,-2.7559998,-0.9664168,14789.961,1.0,4.0,19.813087,36.719997,293.55222
32,2000-02-27,71.0,-1.106,-5.356,-2.93725,27242.08,0.0,0.0,14.8257065,28.44,339.1374
33,2000-02-28,2.0,0.74399996,-10.206,-3.8247492,34906.26,0.0,0.0,22.725668,39.6,216.46729
